,0.0000 
Long_interval_mean,2.5030 
Long_interval_var,1.6589 
Long_interval_skew,1.5166 
Long_interval_kurtosis,1.3944 
Short_interval_mean,1.3753 
Short_interval_var,1.3306 
Short_interval_skew,1.2915 
Short_interval_kurtosis,1.1992 
video-video,1.1597 
video-answer,1.1281 
video-comment,1.0705 
video-courseware,1.0534 
answer-video,1.0032 
answer-answer,0.9837 
answer-comment,0.9258 
answer-courseware,0.9120 
comment-video,0.8870 
comment-answer,0.7323 
comment-comment,0.6970 
comment-courseware,0.6625 
courseware-video,0.6515 
courseware-answer,0.5979 
courseware-comment,0.5865 
courseware-courseware,0.4706 
gender,0.4525 
birth_year,0.4389 
edu_degree,0.3895 
course_category,0.3372 
course_type,0.2992 
course_duration,0.2895 
course_amount,0.0513 
dropout_rate_of_course,0.0142 
student_amount,0.0104 
 dropout_rate_of_user,0.0000 
